Base,Number,Number SQ,Number SQ HEX,Number Echo,Number Echo HEX,Date/Time
2,6,36,100100,66,1000010,04/03/2023 11:10:35
2,820,672400,10100100001010010000,820820,11001000011001010100,04/03/2023 11:10:35
